critic,fresh,imdb,publication,quote,review_date,rtid,title
Jonathan Rosenbaum,fresh,113277.0,Chicago Reader,"There's nothing really new in this lengthy 1995 thriller by writer-director Michael Mann about cops and robbers in Los Angeles, but it has craft, pacing, and an overall sense of proportion, three pretty rare classic virtues nowadays.",2014-04-29,13098.0,Heat
Dave Kehr,fresh,113277.0,New York Daily News,"An odd though often entertaining blend of The Asphalt Jungle and Oprah, a traditional cops-and-robbers story weirdly fitted out with long, earnest discussions of interpersonal relationships.",2014-04-29,13098.0,Heat
Jay Boyar,fresh,113277.0,Orlando Sentinel,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",2014-04-29,13098.0,Heat
John Hartl,fresh,113277.0,Seattle Times,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,2014-04-29,13098.0,Heat
Todd McCarthy,fresh,113277.0,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16,13098.0,Heat
Peter Travers,fresh,113277.0,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,2007-08-14,13098.0,Heat
Geoff Andrew,fresh,113277.0,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09,13098.0,Heat
Janet Maslin,rotten,113277.0,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20,13098.0,Heat
Kenneth Turan,fresh,113277.0,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13,13098.0,Heat
Andrew Ross,rotten,113277.0,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities.",2000-01-01,13098.0,Heat
Roger Ebert,fresh,113277.0,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01,13098.0,Heat
James Berardinelli,rotten,113277.0,ReelViews,... a colossal disappointment.,2000-01-01,13098.0,Heat
Sean Means,fresh,113277.0,Film.com,Heat generates lots of energy but gives off little light.,2000-01-01,13098.0,Heat
Susan Stark,fresh,113277.0,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,2000-01-01,13098.0,Heat
Edward Guthmann,fresh,113277.0,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01,13098.0,Heat
Andy Spletzer,fresh,113277.0,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,2000-01-01,13098.0,Heat
,fresh,47437.0,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03,18228.0,Sabrina
Variety Staff,fresh,47437.0,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18,18228.0,Sabrina
Dave Kehr,fresh,47437.0,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,2007-08-15,18228.0,Sabrina
Derek Adams,fresh,47437.0,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24,18228.0,Sabrina
James Berardinelli,fresh,47437.0,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01,18228.0,Sabrina
Bosley Crowther,fresh,47437.0,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01,18228.0,Sabrina
Joe Leydon,none,112302.0,Variety,,2009-03-26,11639.0,Tom and Huck
Hal Hinson,none,112302.0,Washington Post,,2000-01-01,11639.0,Tom and Huck
Stephen Holden,none,112302.0,New York Times,,2000-01-01,11639.0,Tom and Huck
Susan Wloszczyna,rotten,112302.0,USA Today,A joyless lump.,2000-01-01,11639.0,Tom and Huck
Peter Stack,none,112302.0,San Francisco Chronicle,,2000-01-01,11639.0,Tom and Huck
Susan Stark,fresh,112302.0,Detroit News,,2000-01-01,11639.0,Tom and Huck
Kevin McManus,none,112302.0,Washington Post,,2000-01-01,11639.0,Tom and Huck
,rotten,114576.0,Entertainment Weekly,,2010-12-27,15378.0,Sudden Death
Derek Elley,none,114576.0,Variety,,2009-03-26,15378.0,Sudden Death
Geoff Andrew,fresh,114576.0,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2006-02-09,15378.0,Sudden Death
Stephen Holden,fresh,114576.0,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",2003-05-20,15378.0,Sudden Death
Mick LaSalle,fresh,114576.0,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,2002-06-18,15378.0,Sudden Death
Peter Travers,rotten,114576.0,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",2001-05-12,15378.0,Sudden Death
Kevin Thomas,fresh,114576.0,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2001-02-13,15378.0,Sudden Death
Roger Ebert,fresh,114576.0,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",2000-01-01,15378.0,Sudden Death
Richard Harrington,fresh,114576.0,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",2000-01-01,15378.0,Sudden Death
Desson Thomson,rotten,114576.0,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",2000-01-01,15378.0,Sudden Death
Susan Stark,rotten,114576.0,Detroit News,,2000-01-01,15378.0,Sudden Death
James Berardinelli,rotten,114576.0,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",2000-01-01,15378.0,Sudden Death
Anthony Lane,fresh,113189.0,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",2012-10-23,12812.0,GoldenEye
Owen Gleiberman,rotten,113189.0,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",2008-10-13,12812.0,GoldenEye
Jonathan Rosenbaum,fresh,113189.0,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",2008-10-13,12812.0,GoldenEye
Richard Schickel,rotten,113189.0,TIME Magazine,"Richard Kiel, you are missed.",2008-10-13,12812.0,GoldenEye
Todd McCarthy,fresh,113189.0,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2008-10-02,12812.0,GoldenEye
,fresh,113189.0,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2006-02-09,12812.0,GoldenEye
Janet Maslin,rotten,113189.0,New York Times,Suffers the blahs.,2003-05-20,12812.0,GoldenEye
Peter Stack,fresh,113189.0,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",2002-06-18,12812.0,GoldenEye
Rick Groen,rotten,113189.0,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",2002-04-12,12812.0,GoldenEye
Kenneth Turan,rotten,113189.0,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",2001-02-13,12812.0,GoldenEye
Susan Wloszczyna,fresh,113189.0,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,2000-01-01,12812.0,GoldenEye
Hal Hinson,fresh,113189.0,Washington Post,Directed with top-dollar proficiency (and some real wit).,2000-01-01,12812.0,GoldenEye
James Berardinelli,fresh,113189.0,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,2000-01-01,12812.0,GoldenEye
Roger Ebert,fresh,113189.0,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",2000-01-01,12812.0,GoldenEye
Susan Stark,fresh,113189.0,Detroit News,,2000-01-01,12812.0,GoldenEye
Geoff Andrew,fresh,112346.0,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",2006-06-24,10129.0,The American President
Janet Maslin,fresh,112346.0,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",2003-05-20,10129.0,The American President
Kenneth Turan,fresh,112346.0,Los Angeles Times,Genial and entertaining if not notably inspired.,2001-02-13,10129.0,The American President
,fresh,112346.0,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2001-02-13,10129.0,The American President
Richard Corliss,fresh,112346.0,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,2000-01-01,10129.0,The American President
James Berardinelli,rotten,112346.0,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",2000-01-01,10129.0,The American President
Tom Keogh,fresh,112346.0,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",2000-01-01,10129.0,The American President
Sean Means,fresh,112346.0,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,2000-01-01,10129.0,The American President
Susan Stark,fresh,112346.0,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",2000-01-01,10129.0,The American President
Roger Ebert,fresh,112346.0,Chicago Sun-Times,Great entertainment.,2000-01-01,10129.0,The American President
Desson Thomson,fresh,112346.0,Washington Post,A well-modulated charmer.,2000-01-01,10129.0,The American President
Paula Nechak,fresh,112346.0,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,2000-01-01,10129.0,The American President
Rita Kempley,fresh,112346.0,Washington Post,Frothy.,2000-01-01,10129.0,The American President
Edward Guthmann,fresh,112346.0,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",2000-01-01,10129.0,The American President
John Hartl,fresh,112346.0,Film.com,Painless fun.,2000-01-01,10129.0,The American President
Mike Clark,fresh,112346.0,USA Today,A super cast injects it with Teddy Roosevelt vitality.,2000-01-01,10129.0,The American President
Susan Rathke,rotten,112346.0,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",2000-01-01,10129.0,The American President
Owen Gleiberman,fresh,112346.0,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17,10129.0,The American President
Derek Elley,none,112896.0,Variety,,2012-02-23,10445.0,Dracula: Dead and Loving It
Jonathan Rosenbaum,rotten,112896.0,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20,10445.0,Dracula: Dead and Loving It
Joe Leydon,rotten,112896.0,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26,10445.0,Dracula: Dead and Loving It
,rotten,112896.0,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26,10445.0,Dracula: Dead and Loving It
Janet Maslin,fresh,112896.0,New York Times,Slight but amusing.,2003-05-20,10445.0,Dracula: Dead and Loving It
David Kronke,rotten,112896.0,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15,10445.0,Dracula: Dead and Loving It
James Berardinelli,rotten,112896.0,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01,10445.0,Dracula: Dead and Loving It
Susan Stark,rotten,112896.0,Detroit News,,2000-01-01,10445.0,Dracula: Dead and Loving It
Hal Hinson,rotten,112896.0,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01,10445.0,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,112896.0,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01,10445.0,Dracula: Dead and Loving It
Desson Thomson,rotten,112896.0,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01,10445.0,Dracula: Dead and Loving It
Mick LaSalle,fresh,112896.0,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01,10445.0,Dracula: Dead and Loving It
Brian Lowry,none,112453.0,Variety,,2009-03-26,9562.0,Balto
,none,112453.0,Time Out,,2006-01-26,9562.0,Balto
Stephen Holden,none,112453.0,New York Times,,2003-05-20,9562.0,Balto
David Kronke,none,112453.0,Los Angeles Times,,2002-08-15,9562.0,Balto
Peter Stack,none,112453.0,San Francisco Chronicle,,2000-01-01,9562.0,Balto
Susan Wloszczyna,rotten,112453.0,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01,9562.0,Balto
Kevin McManus,none,112453.0,Washington Post,,2000-01-01,9562.0,Balto
Roger Ebert,fresh,112453.0,Chicago Sun-Times,,2000-01-01,9562.0,Balto
James Berardinelli,rotten,112453.0,ReelViews,,2000-01-01,9562.0,Balto
Susan Stark,rotten,112453.0,Detroit News,,2000-01-01,9562.0,Balto
Rita Kempley,none,112453.0,Washington Post,,2000-01-01,9562.0,Balto
Owen Gleiberman,fresh,113987.0,Entertainment Weekly,,2011-09-07,16248.0,Nixon
Geoff Andrew,rotten,113987.0,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",2006-01-26,16248.0,Nixon
Janet Maslin,fresh,113987.0,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",2003-05-20,16248.0,Nixon
,none,113987.0,Globe and Mail,,2002-04-12,16248.0,Nixon
Peter Travers,none,113987.0,Rolling Stone,,2001-05-12,16248.0,Nixon
Hal Hinson,fresh,113987.0,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",2001-02-16,16248.0,Nixon
Kenneth Turan,fresh,113987.0,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2001-02-13,16248.0,Nixon
Todd McCarthy,rotten,113987.0,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2001-02-13,16248.0,Nixon
James Berardinelli,fresh,113987.0,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",2000-01-01,16248.0,Nixon
John Hartl,rotten,113987.0,Film.com,There's no compelling structure or viewpoint to hold the picture together.,2000-01-01,16248.0,Nixon
Mick LaSalle,rotten,113987.0,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,2000-01-01,16248.0,Nixon
Roger Ebert,fresh,113987.0,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",2000-01-01,16248.0,Nixon
Susan Stark,fresh,113987.0,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",2000-01-01,16248.0,Nixon
Desson Thomson,fresh,113987.0,Washington Post,You will not be bored.,2000-01-01,16248.0,Nixon
Stanley Kauffmann,fresh,113987.0,The New Republic,The picture is a case study.,2000-01-01,16248.0,Nixon
Sean Means,fresh,113987.0,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,2000-01-01,16248.0,Nixon
Emily White,rotten,113987.0,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",2000-01-01,16248.0,Nixon
Mike Clark,fresh,113987.0,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,2000-01-01,16248.0,Nixon
Lyall Bush,rotten,113987.0,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,2000-01-01,16248.0,Nixon
Richard Corliss,rotten,113987.0,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",2000-01-01,16248.0,Nixon
Todd McCarthy,rotten,112760.0,Variety,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",2009-03-26,10672.0,Cutthroat Island
Trevor Johnston,rotten,112760.0,Time Out,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",2006-02-09,10672.0,Cutthroat Island
Janet Maslin,rotten,112760.0,New York Times,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",2003-05-20,10672.0,Cutthroat Island
Peter Stack,rotten,112760.0,San Francisco Chronicle,,2002-06-18,10672.0,Cutthroat Island
,none,112760.0,Globe and Mail,,2002-04-12,10672.0,Cutthroat Island
